Rk,Season,Tm,Lg,G,W,L,FG,FGA,THREEP,THREEPA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,OFGM,OFGA,OFTM,OFTA,O3PM,O3PA,OppORB,OppDRB,OppAsst,OppSTL,OppBlk,OppTOV,OppPF
185,2002-03,PHI,NBA,82,48,34,2975,6640,245,787,1746,2253,1042,2415,3457,1771,844,284,1212,1804,2876,6363,1547,2035,453,1278,908,2400,1809,639,506,1355,1884
166,2002-03,PHO,NBA,82,44,38,3005,6776,394,1149,1430,1928,1049,2440,3489,1719,665,404,1208,1801,2913,6658,1479,1933,436,1361,1031,2486,1824,639,446,1240,1763
216,2002-03,POR,NBA,82,50,32,2987,6491,379,1150,1450,1947,992,2378,3370,1860,725,316,1248,1634,2942,6540,1267,1659,437,1285,913,2291,1863,681,394,1201,1670
65,2002-03,SAS,NBA,82,60,22,2908,6297,449,1270,1591,2194,939,2556,3495,1636,629,529,1295,1672,2991,7125,1454,1962,373,1166,1145,2614,1758,684,351,1195,1635
208,2002-03,SOK,NBA,82,40,42,2887,6599,456,1291,1325,1780,963,2385,3348,1775,679,295,1085,1712,2862,6703,1334,1737,354,1043,1029,2322,1559,665,422,1177,1914
235,2002-03,TOR,NBA,82,24,58,2847,6664,409,1193,1350,1879,1023,2355,3378,1583,609,392,1181,1761,2871,6424,1351,1821,472,1371,938,2462,1703,500,410,1158,1671
211,2002-03,UTA,NBA,82,47,35,2894,6189,224,641,1750,2349,1021,2381,3402,2103,708,467,1374,1837,3037,6592,1490,1964,370,986,976,2601,1729,604,403,1079,1701
200,2002-03,WAS,NBA,82,37,45,2816,6394,253,811,1617,2077,917,2395,3312,1612,621,390,1095,1644,2751,6346,1627,2143,437,1251,1011,2120,1601,723,429,1253,1950
1,2002-03,SAC,NBA,82,59,23,3242,6990,491,1288,1367,1832,900,2751,3651,2034,735,457,1192,1666,2877,6507,1382,1792,449,1242,949,2447,1776,612,346,1112,1804
102,2003-04,ATL,NBA,82,28,54,2829,6529,419,1249,1534,1976,996,2507,3503,1648,627,408,1350,1826,2968,6740,1574,2072,482,1345,1048,2485,1803,731,409,1086,1699
167,2003-04,BOS,NBA,82,36,46,2843,6415,553,1599,1572,2095,851,2440,3291,1683,770,331,1332,1837,2894,6627,1587,2157,555,1534,1070,2524,1882,719,407,1334,1819
91,2003-04,CHI,NBA,82,23,59,2798,6753,429,1256,1330,1834,1048,2519,3567,1793,659,396,1321,1911,2882,6611,1673,2238,439,1236,1011,2682,1890,694,442,1190,1684
30,2003-04,CLE,NBA,82,35,47,2922,6753,247,786,1528,2030,1118,2619,3737,1808,585,537,1216,1743,2956,6759,1491,1990,431,1162,970,2474,1783,635,434,1018,1655
79,2003-04,DAL,NBA,82,52,30,3322,7230,507,1456,1475,1854,1174,2538,3712,1963,656,437,1000,1609,3133,6824,1462,1960,534,1471,1009,2562,1937,582,382,1178,1689
